England and Wales Code,England and Wales,Household size (5 categories) Code,Household size (5 categories),Tenure of household (5 categories) Code,Tenure of household (5 categories),Household composition (15 categories) Code,Household composition (15 categories),Accommodation type (5 categories) Code,Accommodation type (5 categories),Observation
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1,Whole house or bungalow: Detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",4,"Flat, maisonette or apartment",0
K04000001,England and Wales,0,0 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,0,0 people in household,2,Rented: Social rented,-8,Does not apply,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,0,0 people in household,2,Rented: Social rented,-8,Does not apply,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,0,0 people in household,2,Rented: Social rented,-8,Does not apply,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,0,0 people in household,2,Rented: Social rented,-8,Does not apply,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,0,0 people in household,2,Rented: Social rented,-8,Does not apply,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,0,0 people in household,2,Rented: Social rented,1,One-person household: Aged 66 years and over,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,0,0 people in household,2,Rented: Social rented,1,One-person household: Aged 66 years and over,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,0,0 people in household,2,Rented: Social rented,1,One-person household: Aged 66 years and over,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,0,0 people in household,2,Rented: Social rented,1,One-person household: Aged 66 years and over,4,"Flat, maisonette or apartment",0
